X,Y,OBJECTID,Address,Notes,Type,Program,POINT_X,POINT_Y
-77.617836077001201,43.176327800003051,57,75 Roth St,Roth St and Flower St,Video,BlueLight,-77.6178360769999,43.1763278000001
-77.610883774001195,43.171957902002973,58,80 William Warfield Dr,,Video,BlueLight,-77.6108837739999,43.171957902
-77.606484871001243,43.157086504003011,59,228 E Main St,Main St and N Clinton Ave,Video,BlueLight,-77.606484871,43.1570865040001
-77.604567169001214,43.157705805002983,60,25 Franklin St,Liberty Pole,Video,BlueLight,-77.6045671689999,43.157705805
-77.603344070001199,43.155330405002971,61,E Broad St and Chestnut St,,Video,BlueLight,-77.6033440699999,43.155330405
-77.605693671001234,43.155299104002992,62,E Broad St and S Clinton Ave,,Video,BlueLight,-77.605693671,43.1552991040001
-77.661795618001236,43.168926720002993,63,945 Mt Read Blvd,RPD,Video,BlueLight,-77.661795618,43.1689267200001
-77.668890047001199,43.176688025002989,64,630 Colfax St,RPD - Autopound,Video,BlueLight,-77.6688900469999,43.176688025
-77.616118073001203,43.142904206002974,65,Ford Street Bridge,,Video,BlueLight,-77.6161180729999,43.142904206
-77.642246786001252,43.169084101003016,66,Murray St and Otis St,,Video,BlueLight,-77.642246786,43.1690841010001
-77.621085475001237,43.141000907002983,67,S Plymouth Ave and Violetta St,,Video,BlueLight,-77.621085475,43.141000907
-77.6312693800012,43.17439790000298,68,Fulton Ave and Locust St,,Video,BlueLight,-77.6312693799999,43.1743979
-77.634408481001245,43.159529003002994,69,Jay St and Orchard St,,Video,BlueLight,-77.634408481,43.159529003
-77.637593680001203,43.150506605003009,70,York St and Ruby St,,Video,BlueLight,-77.63759368,43.150506605
-77.636099878001247,43.134992605002978,71,Genesee St and Sawyer St,,Video,BlueLight,-77.636099878,43.134992605
-77.647993083001239,43.146427404003028,72,Chili Ave and Post Ave,,Video,BlueLight,-77.647993083,43.1464274040001
-77.629129380001203,43.168365302002975,73,N Plymouth Ave and Lorimer St,,Video,BlueLight,-77.6291293799999,43.168365302
-77.638664883001269,43.181076000003017,74,Dewey Ave and Driving Park,,Video,BlueLight,-77.638664883,43.181076
-77.638879999001247,43.190881614002983,75,Dewey Ave and Electric Ave,,Video,BlueLight,-77.638879999,43.190881614
-77.626688878001247,43.152589104002999,76,W Main St and King St,,Video,BlueLight,-77.626688878,43.1525891040001
-77.632174579001244,43.162660002003001,77,W Broad St and Saxton St,,Video,BlueLight,-77.632174579,43.1626600020001
-77.601155269001211,43.158505305003004,78,E Main St and Gibbs St,,Video,BlueLight,-77.6011552689999,43.1585053050001
-77.629060477001204,43.142751305002996,79,Jefferson Ave and Bartlett St,,Video,BlueLight,-77.6290604769999,43.142751305
-77.651071283001244,43.145444505003006,80,Chili Ave and Thurston Rd,,Video,BlueLight,-77.651071283,43.1454445050001
-77.635887678001225,43.140985406002969,81,Genesee St and Hawley St,,Video,BlueLight,-77.635887678,43.140985406
-77.629184478001221,43.164608702003008,82,Lyell Ave and Saratoga Ave,,Video,BlueLight,-77.629184478,43.1646087020001
-77.639560183001223,43.175981699002989,83,Dewey Ave and Glendale St,,Video,BlueLight,-77.639560183,43.175981699
-77.628688278001221,43.160544402002955,84,Smith St and W Broad St,,Video,BlueLight,-77.628688278,43.160544402
-77.610097172001204,43.159444703003018,85,St Paul St and Andrews St,,Video,BlueLight,-77.6100971719999,43.1594447030001
-77.651049885001243,43.137009406003017,86,Thurston Rd and Lehigh Ave,,Video,BlueLight,-77.651049885,43.1370094060001
-77.608576838001241,43.258388161002991,87,Lake Ave and Beach Ave,,Video,BlueLight,-77.608576838,43.258388161
-77.612610873001202,43.155621004003031,88,W Main St and State St,,Video,BlueLight,-77.6126108729999,43.1556210040001
-77.628824078001244,43.135030307003035,89,S Plymouth Ave and Cottage St,Plymouth/Cottage/Jefferson,Video,BlueLight,-77.628824078,43.1350303070001
-77.602700269001204,43.154235605003009,90,353 Court St,Manhattan Sq Park,Video,BlueLight,-77.602700269,43.1542356050001
-77.607613173001198,43.157523204002963,91,50 Division St,,Video,BlueLight,-77.6076131729999,43.157523204
-77.611851973001194,43.157548304003022,92,100 State St,Genesee Crossroads Pk,Video,BlueLight,-77.6118519729999,43.157548304
-77.650830684001221,43.133172507002982,93,579 Thurston Rd,Thurston Rd/Rosalind St,Video,BlueLight,-77.650830684,43.133172507
-77.650784284001205,43.131069107002965,94,685 Thurston Rd,Thurston Rd/Brook Ave,Video,BlueLight,-77.6507842839999,43.131069107
-77.601386067001243,43.154238605002988,95,353 Court St,Manhattan Sq Park,Video,BlueLight,-77.601386067,43.154238605
-77.601512068001227,43.153672105002997,96,353 Court St,Manhattan Sq Park,Video,BlueLight,-77.601512068,43.1536721050001
-77.594992368001215,43.156229205003001,97,20 Lawrence St,,Video,BlueLight,-77.594992368,43.156229205
-77.6384829800012,43.149969204003028,98,34 West Ave,West Ave/Algonqui Terrace,Video,BlueLight,-77.6384829799999,43.1499692040001
-77.638698081001223,43.155293602002985,99,507 Maple St,Child St/ Maple St,Video,BlueLight,-77.638698081,43.155293602
-77.629991479001205,43.175871600002999,100,Lake Ave and Ravine Ave,,Video,BlueLight,-77.629991479,43.1758716000001
-77.612967673001222,43.149143206003032,101,S Plymouth Ave and Fitzhugh St,,Video,BlueLight,-77.612967673,43.1491432060001
-77.613753373001217,43.150976605002981,102,200 S Plymouth Ave,,Video,BlueLight,-77.613753373,43.150976605
-77.650791803001212,43.158369545002977,103,1099 Jay St,RPD,Video,BlueLight,-77.6507918029999,43.158369545
-77.602377068001232,43.151442405002996,104,Chestnut St,,Video,BlueLight,-77.602377068,43.1514424050001
-77.603039572001208,43.181554000003018,105,Dayton St and Bauman St,,Video,BlueLight,-77.6030395719999,43.181554
-77.610873844001233,43.156214908002994,106,36 E Main St,(River/Park Trail),Video,BlueLight,-77.610873844,43.156214908
-77.576228765001204,43.170134555003017,107,Ackerman St and Heidelberg St, rear of Plaza,Video,BlueLight,-77.5762287649999,43.1701345550001
-77.609311403001186,43.256246952003004,108,4650 Portside Dr,"Future Marina (estimate, not actual location)",Video,BlueLight,-77.6093114029999,43.256246952
-77.609231409001225,43.257086688003014,109,4764 Lake Ave,"Future Marina (estimate, not actual location)",Video,BlueLight,-77.609231409,43.2570866880001
-77.639275701001253,43.157189014003002,111,261 Child St,RPD - SOD,Video,BlueLight,-77.639275701,43.157189014
-77.610080007001216,43.168965119003005,112,630 N Clinton Ave,RPD - Clinton/Goodman,Video,BlueLight,-77.610080007,43.1689651190001
-77.611546272001206,43.154365703002988,113,E Broad St and Exchange Blvd,Blue Cross Arena,Video,BlueLight,-77.6115462719999,43.1543657030001
-77.611121769001244,43.151625091002991,114,185 Exchange Blvd,PSB - RPD/RFD,Video,BlueLight,-77.611121769,43.151625091
-77.608839159001221,43.154768952002982,115,NE Corner of Broad St Bridge,,Video,BlueLight,-77.608839159,43.154768952
-77.599363670001196,43.182170101003003,116,Fairbanks Ave and Hudson Ave,,Video,BlueLight,-77.5993636699999,43.1821701010001
-77.613717775001206,43.183174586003013,117,N Clinton Ave and Oscar St,,Video,BlueLight,-77.6137177749999,43.1831745860001
-77.6165780750012,43.177161100002991,118,Treyer St and Lill St,,Video,BlueLight,-77.616578075,43.1771611
-77.589405730001218,43.170770542003012,119,Bay St and Rohr St,,Video,BlueLight,-77.58940573,43.1707705420001
-77.582094147001214,43.175772731003015,120,Clifford Ave and Sixth St,,Video,BlueLight,-77.582094147,43.1757727310001
-77.584061723001184,43.186651612002997,121,Portland Ave and Dickinson St ,,Video,BlueLight,-77.5840617229999,43.186651612
-77.622697607001228,43.151333629003027,122,210 Troup St,,Video,BlueLight,-77.622697607,43.1513336290001
-77.636197293001217,43.146474407002984,123,Genesee St and Kirkland Rd,,Video,BlueLight,-77.636197293,43.146474407
-77.643474454001179,43.142177582003001,124,Arnett Blvd and Rugby Ave,,Video,BlueLight,-77.6434744539999,43.142177582
-77.638897577001231,43.151715305002988,125,Child St and Danforth St,,Video,BlueLight,-77.638897577,43.151715305
-77.628823212001237,43.139949565003,126,Jefferson Ave and Flint St,,Video,BlueLight,-77.628823212,43.1399495650001
-77.595367811001211,43.138897580002997,127,S Clinton Ave and Caroline St,,Video,BlueLight,-77.595367811,43.13889758
-77.571022823001229,43.160425593003026,129,Main St and Sidney St,,Video,BlueLight,-77.571022823,43.1604255930001
-77.570595097001231,43.170480810003035,130,530 Webster Ave,,Video,BlueLight,-77.570595097,43.1704808100001
-77.574962483001229,43.164872068003021,131,202 Grand Ave,,Video,BlueLight,-77.574962483,43.1648720680001
-77.642257747001238,43.164639577002994,132,Lyell Ave and Murray St,,Video,BlueLight,-77.642257747,43.1646395770001
-77.638972680001203,43.15942067200303,133,Jay St and Child St,,Video,BlueLight,-77.6389726799999,43.1594206720001
-77.638753585001226,43.164557842003035,134,Lyell Ave and Child St,,Video,BlueLight,-77.638753585,43.1645578420001
-77.639598476001211,43.179251131002992,135,Dewey Ave and Lexington Ave,,Video,BlueLight,-77.6395984759999,43.1792511310001
-77.644472094001244,43.16898514600301,136,Otis St and Warner St,,Video,BlueLight,-77.644472094,43.1689851460001
-77.6271605010012,43.165708528003002,137,Plymouth Ave and Spencer St,,Video,BlueLight,-77.6271605009999,43.165708528
-77.594336429001203,43.154963228003005,138,East Ave and Alexander St,,Video,BlueLight,-77.594336429,43.154963228
-77.585300866001205,43.183521600003004,139,Portland Ave and Grafton St,,Video,BlueLight,-77.585300866,43.1835216000001
-77.592755761001243,43.158267615003012,172,Alexander St and University Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.592755761,43.1582676150001
-77.603198770001214,43.154388562003014,173,Court St and Chestnut St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6031987699999,43.1543885620001
-77.583594712001243,43.162059561002991,174,N Goodman St and E Main St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.583594712,43.162059561
-77.594788738001242,43.141821617003018,175,S Goodman St and Interstate 490,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.594788738,43.1418216170001
-77.61590982300126,43.158799572003026,176,State St and Allen St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.615909823,43.1587995720001
-77.643865734001224,43.149984614003031,177,West Ave and Ames St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.643865734,43.1499846140001
-77.636098746001224,43.15027154300298,178,W Main St and Brown/Genesee St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.636098746,43.150271543
-77.618241494001225,43.168325378003033,179,691 St Paul St @ pedestrian crossing,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.618241494,43.1683253780001
-77.607619722001246,43.160075566002995,180,N Clinton Ave and Andrews St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.607619722,43.160075566
-77.613793752001186,43.18646152700299,181,N Clinton Ave and Norton St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6137937519999,43.1864615270001
-77.595143770001201,43.17538160700304,182,North St at Clifford Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.5951437699999,43.1753816070001
-77.600163842001251,43.146717583002996,183,Broadway St at Alexander St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.600163842,43.1467175830001
-77.621610780001234,43.163223607003019,184,State St at Jay St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.62161078,43.1632236070001
-77.571699743001219,43.14951756800302,185,East Ave and Culver Rd,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.571699743,43.1495175680001
-77.6388767610012,43.193848541003028,186,Dewey Ave and Ridgeway Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6388767609999,43.1938485410001
-77.616909810001246,43.167370580003016,187,St. Paul St and Upper Falls Blvd,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.61690981,43.1673705800001
-77.625165786001219,43.15811453500298,188,Brown St and Broad St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.625165786,43.158114535
-77.642257745001203,43.164639575003015,189,Lyell Ave and Murray St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6422577449999,43.1646395750001
-77.632314845001218,43.155357577003016,190,Maple St and Saxton St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.6323148449999,43.1553575770001
-77.620435828001234,43.153901546002999,191,W Main St and Broad/Ford St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.620435828,43.153901546
-77.627736807001213,43.19418058900299,192,W Ridge Rd and Ridgway Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.627736807,43.194180589
-77.628793843001233,43.194699600002977,193,Lake Ave and Ridge Rd,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.628793843,43.1946996
-77.599573801001213,43.186820585003026,194,Norton St and Hudson Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.599573801,43.1868205850001
-77.629003816001216,43.193843599002996,195,Lake Ave and Ridgeway Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.629003816,43.193843599
-77.631740795001249,43.180945537003005,196,Lake Ave and Driving Park Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.631740795,43.1809455370001
-77.651702762001207,43.203338581002967,197,W Ridge Rd and Bonesteel St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.651702762,43.203338581
-77.659558779001216,43.164666583002962,198,Mt Read Blvd and Lyell Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.659558779,43.164666583
-77.659579853001233,43.173855601003005,199,Mt Read Blvd and Emerson St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.659579853,43.1738556010001
-77.659594824001218,43.187360621003002,200,Mt Read Blvd and Driving Park Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.659594824,43.187360621
-77.597663812001215,43.148838548003013,201,Monroe Ave and Alexander St,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.597663812,43.1488385480001
-77.576179771001193,43.17581956300301,202,N Goodman St and Clifford Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.5761797709999,43.1758195630001
-77.617052766001223,43.124833301003051,203,Mt Hope Ave and Elmwood Ave,Program Terminated  on 2016-12-31,Traffic,RedLight,-77.617052766,43.1248333010001
-77.642090254001246,43.164575449002989,204,Lyell Ave and Murray St,,Video,BlueLight,-77.642090254,43.164575449
-77.619833131001215,43.177782846003019,205,Avenue A and Conkey Ave,,Video,BlueLight,-77.619833131,43.1777828460001
-77.636000499001241,43.137923945003052,206,Genesee St and Magnolia St,,Video,BlueLight,-77.636000499,43.1379239450001
-77.569492110001192,43.171294395003031,208,Bay St and Webster Ave,,Video,BlueLight,-77.5694921099999,43.1712943950001
-77.62316083800124,43.164588688002972,209,State St and Smith St,,Video,BlueLight,-77.623160838,43.164588688
-77.594588300001192,43.170669283003008,210,Bay St and Portland Ave,,Video,BlueLight,-77.5945882999999,43.1706692830001
-77.626301317001221,43.16464252300301,211,Lyell Ave and N Plymouth Ave,,Video,BlueLight,-77.626301317,43.1646425230001
-77.634279731001214,43.150726371003032,212,W Main St and Henion St,,Video,BlueLight,-77.6342797309999,43.1507263710001
-77.59919756800123,43.180865497003012,213,Hudson Ave and Avenue D,,Video,BlueLight,-77.599197568,43.1808654970001
